id,question
103,"12m2 35dm2 = …… m2. Số thích hợp để điền vào chỗ chấm là?
A. 1235
B. 12,35
C. 123,5
D. 1,235"
1030,"Mua 10 kg hết 82 000 đồng. Vậy mua 2,5 kg gạo như vậy hết số tiền là?
A. 18 000 đồng
B. 20 500 đồng
C. 205 000 đồng
D. 164 000 đồng"
1031,"Mua 12 quyển vở hết 60 000 đồng. Hỏi mua 20 quyển vở như thế hết số tiền là?
A. 100 000 đồng
B. 160 000 đồng
C. 180 000 đồng
D. 120 000 đồng"
1032,"Mua 15 cái bút hết 45 000 đồng. Vậy mua 40 cái bút hết số tiền là?
A. 120 000 đồng
B. 240 000 đồng
C. 675 000 đồng
D. 15 000 đồng"
1037,"My nhặt được 25 vỏ chai nhựa. An mang 4 vỏ chai nhựa ở nhà đưa thêm cho My. Số vỏ chai nhựa My có tất cả là?
A. 25 vỏ chai
B. 21 vỏ chai
C. 29 vỏ chai
D. 65 vỏ chai"
104,"12m7dm = … dm. Số thích hợp điền vào chỗ chấm là?
A. 1 207 dm
B. 127 dm
C. 1 270 dm
D. 1 027 dm"
1045,"Nam mua 5 quyển vở và đưa cô bán hàng tờ 100 000 đồng. Cô bán hàng trả lại Nam 35 000 đồng. Vậy mỗi quyển vở Nam mua có giá là?
A.13 000 đồng
B.15 000 đồng
C.16 000 đồng
D.18 000 đồng"
1049,"Năm nay mẹ 36 tuổi, tuổi của con bằng tuổi của mẹ giảm đi 4 lần. Hỏi năm nay con mấy tuổi?
A. 6 tuổi
B. 7 tuổi
C. 10 tuổi
D. 9 tuổi"
105,"15 là tổng của?
A. 6 và 7
B. 25 và 10
C. 9 và 6
D. 8 và 8"
1050,"Năm nay, An 12 tuổi. Bình ít hơn An 4 tuổi. Số tuổi của Bình là?
A. 8 tuổi
B. 16 tuổi
C. 9 tuổi
D. 7 tuổi"
1051,"Năm nay, toàn bộ số vải thiều gia đình bác Minh thu hoạch được đã được hai thương lái thu mua hết tại vườn. Thương lái thứ nhất thu mua 5 450 kg vải thiều, thương lái thứ hai thu mua ít hơn thương lái thứ nhất 2 400 kg. Vậy số vải thiều năm nay gia đình bác Minh thu hoạch được là?
A. 8 000 kg
B. 7 850 kg
C. 3 050 kg
D. 8 500 kg"
1054,"Nếu dịch chuyển dấu phẩy của số thập phân sang bên phải một hàng thì số thập phân đó?
A. Tăng lên 10 đơn vị
B. Giảm đi 10 đơn vị
C. Tăng lên 10 lần
D. Giảm đi 10 lần"
1056,"Nếu ngày 13 tháng 8 là thứ Ba thì ngày 21 tháng 8 là thứ mấy?
A. Thứ Sáu
B. Thứ Hai
C. Thứ Năm
D. Thứ Tư"
1057,"Nếu ngày 15 tháng 3 là thứ Ba thì ngày 21 tháng 3 là thứ mấy?
A. Thứ Hai
B. Thứ Ba
C. Thứ Tư
D. Thứ Năm"
1058,"Nếu ngày 29 tháng 5 là thứ Hai thì ngày 1 tháng 6 cùng năm đó là?
A. Thứ Ba
B. Thứ Tư
C. Thứ Năm
D. Thứ Sáu"
106,"15% của 320 kg là?
A. 140 kg
B. 401 kg
C. 480 kg
D. 48 kg"
1060,"Nếu tăng bán kính của mặt cầu lên 4 lần thì diện tích mặt cầu tăng lên bao nhiêu lần?
A. 16
B. 8
C. 4
D. 64"
1061,"Nếu tăng chiều dài và chiều rộng của một hình chữ nhật thêm 8 cm thì chu vi của hình chữ nhật đó tăng thêm là?
A.16 cm
B. 24 cm
C. 32 cm
D. 36 cm"
1069,"Ngày 5 tháng 7 là thứ Sáu thì ngày 10 tháng 7 cùng năm đó là thứ mấy?
A. Thứ Hai
B. Thứ Ba
C. Thứ Tư
D. Thứ Năm"
107,"15% của 40 là?
A. 6
B. 300
C. 275
D. 60"
1070,"Ngày 6 tháng 6 năm 2022 là Thứ Hai. Vậy Thứ Hai tiếp theo của tháng 6 vào ngày nào?
A. Ngày 10
B. Ngày 11
C. Ngày 12
D. Ngày 13"
1071,"Ngày thứ nhất, bác Thái thu hoạch được 250 kg nhãn. Ngày thứ hai, số ki- lô-gam nhãn bác Thái thu hoạch được đã giảm đi 2 lần so với ngày thứ nhất. Vậy cả hai ngày bác Thái thu hoạch được số ki-lô-gam nhãn là?
A. 500 kg
B. 750 kg
C. 125kg
D. 375 kg"
1078,"Nhà Hiền có 7 con lợn. Số ga nhiều hơn số lợn 63 con. Vậy số gà gấp số lợn là?
A. 7 lần
B. 8 lần
C. 9 lần
D. 10 lần"
1079,"Nhà Hoa có 25 kg gạo. Mẹ Hoa mua thêm 25 kg gạo nữa rồi đóng tất cả số gạo hiện có thành 5 túi như nhau, tặng cho các gia đình khó khăn trong xóm. Mỗi túi gạo cân nặng là?
A. 5 kg
B. 10 kg
C. 30 kg
D. 20 kg"
108,"15880 : 63 = ?
A. 2511 (dư 4)
B. 251 (dư 67)
C. 252 (dư 4)
D. 252 (dư 3)"
1081,"Nhân viên y tế mất khoảng 5 phút để tiêm xong vắc-xin cho một người. Bố xếp hàng đợi tiêm lúc 9 giờ 20 phút. Phía trước bố còn 6 người nữ. Vậy bố sẽ được tiêm vắc-xin xong lúc?
A. 9 giờ 50 phút
B. 10 giờ 5 phút
C. 10 giờ kém 5 phút
D. 9 giờ 25 phút"
1084,"Phần nguyên của số 1942,54 là?
A. 54
B. 194254
C. 1942
D. 1924,54"
1086,"Phần nguyên của số thập phân 345,128 là?
A. 128
B. 0,128
C. 5,128
D. 345"
1088,"Phân số $\frac{15}{1000}$ được viết dưới dạng số thập phân là?
A. 1,5
B. 0,15
C. 0,015
D. 0,0015"
1089,"Phân số $\frac{2}{5}$ viết dưới dạng phân số thập phân là?
A. $\frac{80}{200}$
B. $\frac{16}{40}$
C. $\frac{40}{100}$
D. $\frac{80}{20}$"
109,"15m2 7dm2 = ….. m2. Số thích hợp điền vào chố chấm là?
A. 15,07 m2
B. 156 m2
C. 15,7 m2
D. 15,007 m2"
1090,"Phân số $\frac{3}{25}$ được viết dưới dạng phân số thập phân là?
A. $\frac{12}{100}$
B. $\frac{6}{50}$
C. $\frac{24}{200}$
D. $\frac{48}{400}$"
1091,"Phân số $\frac{3}{4}$ bằng phân số nào trong các phân số sau?
A. $\frac{7}{11}$
B. $\frac{5}{6}$
C. $\frac{9}{12}$
D. $\frac{4}{5}$"
11,"Bố an gói 10 cặp bánh chưng, sau đó chia đều cho 5 gia đình có hoàn cảnh khó khăn trong xóm. Số bánh chưng mỗi gia đình nhận được là?
A. 2 cái
B. 3 cái
C. 4 cái
D. 5 cái"
110,"16 giờ 15 phút - 3 giờ 45 phút … 9 giờ 25 phút + 2 giờ 39 phút là?
A. <
B. >
C. ="
1100,"Phân số $\frac{97}{1000}$ viết dưới dạng số thập phân là?
A. 9,7
B. 0,97
C. 0,907
D. 0,097"
111,"16 là tích của hai số nào?
A. 5 và 3
B. 2 và 8
C. 7 và 2
D. 4 và 5"
1111,"Phân số thập phân $\frac{205}{100}$ được viết dưới dạng số thập phân là?
A. 20,5
B. 0,0205
C. 2,05
D. 0,205"
112,"168 phút = … giờ?
A. 2,6 giờ
B. 2,4 giờ
C. 2 giờ
D. 2,8 giờ"
1129,"Phép tính 712,54 – 48,9 có kết quả là?
A. 70,765
B. 223,54
C. 663,64
D. 707,65"
113,"18% của 45m2 là?
A. 8,1m
B. 8,1m2
C. 25m2
D. 25"
1130,"Phép tính có kết quả là số liền sau của số nhỏ nhất có hai chữ số giống nhau là?
A. 8 + 4
B. 7 + 6
C. 9 + 5
D. 16 – 6"
1131,"Phép tính có kết quả là số tròn chục là?
A. 46 + 11
B. 56 – 6
C. 32 + 25
D. 85 – 31"
1139,"Phép tính có kết quả nhỏ nhất là?
A. 1 + 2
B. 2 + 2
C. 1 + 4
D. 1 + 1"
114,"1m 3 dm = …. cm. Số thích hợp để điền vào chỗ chấm là?
A. 13
B. 103
C. 130
D. 31"
1148,"Phú Quý là tên một hòn đảo thuộc tỉnh Phan Thiết. Có 30 971 người hiện đang sinh sống trên đảo. Nếu làm tròn số người sinh sống trên đảo đến hàng nghìn, ta có thể nói: số người sinh sống trên đảo Phú Quý khoảng?
A. 30 000 người
B. 40 000 người
C. 31 000 người
D. 29 000 người"
115,"2 ${\times}$ 9 ? – 28 5 ${\times}$ 3?
A. 52
B. 53
C. 41
D. 45"
1156,"Sáng nay, ông Bình chạy bộ 30 phút quanh công viên. Khi ông chạy bộ xong, đồng hồ chỉ 6 giờ 15 phút. Vậy ông Bình bắt đầu chạy bộ lúc?
A. 5 giờ kém 15 phút
B. 6 giờ kém 5 phút
C. 5 giờ 45 phút
D. 6 giờ 45 phút"
116,"2 giờ = … phút. Số thích hợp điền vào chỗ chấm là?
A. 120 phút
B. 110 phút
C. 60 phút
D. 240 phút"
1162,"Sau khi cắt được một lượng lớn cỏ tươi, mẹ dùng quang gánh mang số cỏ đó về nhà cho bò ăn. Mỗi bên quang gánh có khoảng 25 kg cỏ. Mẹ gánh 3 chuyến thì hết số cỏ cắt được. Vậy mẹ cắt được là?
A. 50 kg cỏ
B. 75 kg cỏ
C. 100 kg cỏ
D. 150 kg cỏ"
117,"2 giờ 20 phút chiều còn được gọi là?
A. 14 giờ 20 phút
B. 15 giờ 20 phút
C. 16 giờ 20 phút
D. 17 giờ 20 phút"
1179,"Số 0,72 viết dưới dạng tỉ số phần trăm là?
A. 72%
B. 0,72%
C. 7,2%
D. 720%"
118,"2 là số dư của phép chia?
A. 64 : 3
B. 407 : 4
C. 662 : 6
D. 554 : 5"
1182,"Số 13 076 làm tròn đến chữ số hàng chục nghìn ta được số?
A. 10 000
B. 13 000
C. 13 050
D. 20 000"
119,"2 ngày = … giờ?
A. 12
B. 24
C. 48
D. 56"
12,"Cho biết: 18, 987 = 18 + 0,9 + …. + 0,007
 Số thích hợp để viết vào chỗ chấm là?
A. 8
B. 0,8
C. 0,08
D. 0,008"
120,"2,05 ha = ...........m2?
A. 25 000
B. 20 050
C. 20 500
D. 20 005"
1208,"Số 4 trong số thập phân 325,047 thuộc hàng?
A. Chục
B. Đơn vị
C. Phần mười
D. Phần trăm"
121,"2,3 giờ = ..... giờ ... phút?
A. 2 giờ 18 phút
B. 2 giờ 30 phút
C. 2 giờ 3 phút
D. 2 giờ 36 phút"
122,"20 giờ tối còn gọi là?
A. 8 giờ tối
B. 9 giờ tối
C. 8 giờ chiều
D. 10 giờ đêm"
1224,"Số 689 được viết thành?
A. 6 + 8 + 9
B. 600 + 90 + 8
C. 600 + 80 + 9
D. 600 + 90"
1229,"Số 72,06 gấp 10 lần lên ta được?
A. 720,6
B. 7206
C. 7,206
D. 0,7206"
123,"20 là tích của hai số nào?
A. 2 và 5
B. 5 và 3
C. 2 và 10
D. 5 và 6"
1239,"Số bé nhất có bốn chữ số khác nhau là?
A.9876
B.1000
C.1023
D.1230"
124,"20 là tích của hai số nào?
A. 5 và 5
B. 2 và 10
C. 5 và 6
D. 2 và 4"
1243,"Số bé nhất trong các số 0,56; 0,65; 0,596; 0,559 là?
A. 0,56
B. 0,65
C. 0,596
D. 0,559"
1247,"Số bé nhất trong các số 7,358; 7,385; 7,538; 7,583 là?
A. 7,358
B. 7,385
C. 7,538
D. 7,583"
1249,"Số bé nhất trong các số 9,25; 8,25; 7,89; 6,98 là?
A. 9,25
B. 8,25
C. 7,89
D. 6,98"
125,"20% của 250m là?
A. 5m
B. 50m
C. 25m
D. 20m"
1251,"Số bị chia là 12, số chia là 2. Vậy thương bằng?
A. 8
B. 4
C. 6
D. 3"
1252,"Số bị chia là 40 , số chia là 5. Vậy thương bằng?
A. 45
B. 35
C. 8
D. 9"
1253,"Số bị trừ hơn số trừ 8 đơn vị. Vậy hiệu là?
A. 8
B. 7
C. 9
D. 5"
1254,"Số bị trừ là 63, số trừ là 28. Vậy hiệu bằng?
A. 91
B. 45
C. 35
D. 81"
1255,"Số bị trừ là số liền sau của số tròn chục lớn nhất có hai chữ số, số trừ là tổng của 37 và 25. Vậy hiệu là?
A. 29
B. 28
C. 48
D. 59"
1256,"Số bị trừ là số liền trước của 18, số trừ là số lớn nhất có một chữ số. Vậy hiệu là?
A. 8
B. 9
C. 7
D. 6"
1257,"Số bị trừ là số liền trước của số lớn nhất có hai chữ số khác nhau, số trừ là tổng của 29 và 19. Vậy hiệu là?
A. 52
B. 51
C. 49
D. 50"
1258,"Số bị trừ là số lớn nhất có hai chữ số khác nhau và số trừ là số liền trước của 54. Vậy hiệu là?
A. 46
B. 44
C. 45
D. 43"
126,"20% của 450kg là?
A. 120kg
B. 90kg
C. 900kg
D. 45kg"
1260,"Số cách chọn 5 học sinh từ 35 học sinh của một lớp là?
A. 5!
B. 35^5
C. C_{35}^5
D. A_{35}^5"
1261,"Số cách chọn ra một nhóm học tập gồm 3 học sinh từ 5 học sinh là?
A. 3!
B. A_5^3
C. C_5^3
D. 15"
127,"2014 dm3 = ...... m3 là?
A. 20,14
B. 2,014
C. 201,4"
1270,"Số chia hết cho cả 2 và 5 là?
A. 7 603
B. 706
C. 7 650
D. 763"
1271,"Số chia hết cho cả 2 và 5 là?
A. 7603
B. 706
C. 7650
D. 763"
1277,"Số có chữ số hàng chục nghìn là 5 là?
A. 55 000
B. 5 500
C. 550
D. 55"
1278,"Số có chữ số hàng nghìn bằng 7 là?
A. 78 245
B. 67 382
C. 51 720
D. 90 127"
128,"21% của 2014 là?
A. 422,49
B. 422,94
C. 42,29
D. 42,92"
1281,"Số có số đơn vị kém số chục 5 đơn vị là?
A. 71
B. 38
C. 94
D. 52"
129,"23 m2 = ……… ha? Số thích hợp điền vào chỗ chấm là?
A. 0,23
B. 0,023
C. 0,0023
D. 0,00023"
1290,"Số dư của phép chia 479 : 47 là: (nếu chỉ lấy đến hai chữ số ở phần thập phân của thương).
A. 0,7
B. 0,07
C. 0,007
D. 7"
13,"Diện tích của hình tròn có đường kính d = 5dm là?
A. 78,5dm2
B. 196,25dm2
C. 7,85dm2
D. 19,625dm2"
130,"243 + x = 254 + 142
 Giá trị của x là?
A. 153
B. 195
C. 120"
131,"25% số bi của Hùng thì bằng 50% số bi của Hải, biết tổng số bi của Hùng và Hải bằng 48 viên. Số bi của Hùng là?
A. 16 viên
B. 18 viên
C. 32 viên
D. 30 viên"
1317,"Số gồm 6 nghìn, 7 trăm, 2 đơn vị là?
A. 672
B. 6702
C. 6720
D. 6072"
132,"27 : 3 = ? : 8?
A. 56
B. 64
C. 72
D. 80"
133,"29 km 415 m = … km Số thích hợp để viết vào chỗ chấm là?
A. 29415
B. 29,415
C. 294,15
D. 2941,5"
1330,"Số hạng thứ nhất là 23. Số hạng thứ hai hơn số hạng thứ nhất 12 đơn vị. Vậy tổng là?
A. 35
B. 47
C. 11
D. 58"
1331,"Số hạng thứ nhất là 35, số hạng thứ hai là 21. Vậy tổng là?
A. 14
B. 47
C. 56
D. 32"
1332,"Số hạng thứ nhất là 8. Số hạng thứ hai ít hơn số hạng thứ nhất 3 đơn vị. Vậy tổng là?
A. 5
B. 13
C. 11
D. 19"
134,"2cm được gấp lên 7 lần có giá trị là?
A. 32 cm
B. 28 cm
C. 14 cm
D. 7 cm"
1341,"Số liền sau của 14 là tích của hai số nào?
A. 5 và 3
B. 2 và 7
C. 5 và 4
D. 2 và 6"
1342,"Số liền sau của 15 là tích của hai số nào?
A. 2 và 7
B. 2 và 8
C. 3 và 5
D. 5 và 5"
1344,"Số liền sau của 39 là?
A. 40
B. 38
C. 41
D. 37"
1348,"Số liền sau của 76 là?
A. 75
B. 78
C. 77
D. 74"
135,"2cm2 - 48mm2 = …?
A. 152
B. 152cm
C. 185cm2
D. 152mm2"
1350,"Số liền sau của số 36 là số?
A. 33
B. 32
C. 31
D. 37"
1355,"Số liền sau của số 72 389 là?
A. 72 388
B. 72 400
C. 72 390
D. 72 391"
1356,"Số liền sau của số 75 299 là?
A.7 5289
B.75 298
C.75 300
D.75 301"
1357,"Số liền sau của số 99 999 là?
A. 99 990
B. 90 000
C. 100 000
D. 89 000"
136,"3 được lấy 4 lần viết dưới dạng tích hai số là?
A. 4 x 3
B. 3 x 4
C. 3 x 5"
1360,"Số liền sau của số tròn trăm lớn nhất có ba chữ số là?
A. 901
B. 1 000
C. 999
D. 998"
1365,"Số liền trước của 100 là?
A. 99
B. 98
C. 97
D. 96"
1367,"Số liền trước của 60 là?
A. 58
B. 59
C. 61
D. 62"
1369,"Số liền trước của 99 là?
A. 97
B. 98
C. 100
D. 96"
137,"3 không phải là thương của hai số nào?
A. 15 và 5
B. 6 và 2
C. 12 và 4
D. 10 và 2"
1371,"Số liền trước của số 50 000 là?
A. 49 999
B. 49 900
C. 48 999
D. 49 989"
1372,"Số liền trước của số 54 829 là?
A. 54 828
B. 54 830
C. 54 839
D. 54 819"
1373,"Số liền trước của số 63 là số?
A. 62
B. 61
C. 60
D. 59"
1374,"Số liền trước của số 67 700 là?
A. 67 699
B. 67 600
C. 67 999
D. 67 698"
1375,"Số liền trước của số 78 540 là?
A. 78 530
B. 78 539
C. 78 640
D. 79 540"
1376,"Số liền trước của số 800 là?
A. 779
B. 801
C. 799
D. 789"
1378,"Số liền trước của số lớn nhất có năm chữ số là?
A. 89 999
B. 98 999
C. 99 998
D. 99 989"
1379,"Số liền trước của số lớn nhất có năm chữ số là?
A. 89 999
B. 99 998
C. 98 999
D. 99 989"
138,"3 và ? được 7?
A. 3
B. 4
C. 5
D. 6"
1380,"Số liền trước của số tròn chục nhỏ nhất có ba chữ số là?
A. 99
B. 111
C. 109
D. 110"
1382,"Số lớn nhất có ba chữ số ghép được từ các số 2, 8, 5, 0 là?
A. 285
B. 852
C. 582
D. 805"
139,"3,25 tấn = …… kg. Số thích hợp điền vào chỗ chấm là?
A. 3250
B. 325
C. 32,5
D. 3,25"
14,"Diện tích xung quanh của hình hộp chữ nhật có chiều dài 1,1m, chiều rộng
 0,5m và chiều cao 1m là?
A. 1,6m2
B. 3,2m2
C. 4,3m2
D. 3,75m2"
140,"3,2m3 = ... dm3. Số thích hợp viết vào chỗ chấm là?
A. 32000
B. 3200
C. 320
D. 32"
1405,"Số lớn nhất trong các số 8,09; 7,99; 8,89; 8,9 là?
A. 8,09
B. 7,99
C. 8,89
D. 8,9"
1408,"Số lớn nhất trong các số: 12,356; 12,365; 12,563; 12,536 là?
A. 12,356
B. 12,365
C. 12,563
D. 12,536"
141,"3,3 giờ = .....giờ......phút.
A. 3 giờ 30 phút
B. 3 giờ 15 phút
C. 3 giờ 18 phút
D. 3 giờ 12 phút"
1418,"Số nào dưới đây có chữ số hàng nghìn là 5?
A. 51 490
B. 25 823
C. 62 059
D. 71 543"
142,"30% của 40 tạ là?
A. 7 tạ
B. 12 tạ
C. 28 tạ
D. 120 tạ"
1429,"Số nhỏ nhất là: 6 2 5 4?
A. 6
B. 2
C. 5
D. 4"
143,"30% của 80 là?
A. 24
B. 42
C. 240
D. 2 400"
1431,"Số nhỏ nhất trong các số 34, 51, 68, 29 là?
A. 34
B. 51
C. 68
D. 29"
1432,"Số nhỏ nhất trong các số 5,686; 5,676; 5,668; 5,716 là?
A. 5,686
B. 5,676
C. 5,668
D. 5,716"
1434,"Số nhỏ nhất trong các số 8,686; 8,676; 8,668; 8,716 là?
A. 8,686
B. 8,676
C. 8,668
D. 8,716"
144,"31, 146, 41, 147, 51, 148, 61, 149, … là?
A. 81
B. 71
C. 61
D. 51"
145,"35 là số liền sau của?
A. 36
B. 34
C. 37
D. 33"
1457,"Số thập phân thích hợp điền vào chỗ chấm để 4 tấn 13kg = …….tấn là?
A. 4,13
B. 4,013
C. 4,0013
D. 4,103"
1458,"Số thập phân thích hợp điền vào chỗ chấm: 5kg 85g = ………. kg là?
A. 55,8
B. 58,5
C. 5,85
D. 5,085"
1459,"Số thích hợp cần điền vào chỗ chấm để 450000cm3 = …….m3 là?
A. 45
B. 0,045
C. 0,45
D. 450"
146,"36 + 15 5 ${\times}$ ? 70 – 21?
A. 7
B. 8
C. 9
D. 10"
148,"3km 48m = ……..km.
A. 3,48
B. 3,048
C. 348
D. 3048"
1484,"Số thích hợp để viết vào chỗ chấm của 0,015 tấn = ..........kg là?
A. 150
B. 15
C. 1,5
D. 0,15"
1486,"Số thích hợp điền vào chỗ chấm 5kg 30g = …….. kg là?
A. 53
B. 50,3
C. 5,03
D. 5,3"
1487,"Số thích hợp điền vào chỗ chấm để $\frac{....}{3}=\frac{35}{21}$ là?
A. 49
B. 5
C. 7
D. 21"
149,"3m 15 cm = ……… cm. Số thích hợp điền vào chỗ chấm là?
A. 0,315
B. 3,15
C. 31,5
D. 315"
1491,"Số thích hợp điền vào chỗ chấm để 50g = ………. kg là?
A. 5000
B. 0,05
C. 0,5
D. 5"
1495,"Số thích hợp điền vào chỗ chấm: 8ha 25m2 = …….. dam2 là?
A. 825
B. 800,25
C. 8,25
D. 80025"
15,"Hình tròn có bán kính 0,5cm. Chu vi của hình tròn đó là?
A. 6,28cm
B. 3,14cm
C. 12,56cm
D. 1,57cm"
150,"3m2 46dm2 = ……… dm2. Số cần điền vào chỗ chấm là?
A. 300 046
B. 30 046
C. 3 046
D. 346"
1503,"Số thích hợp viết vào chỗ chấm để $\frac{1}{10}$ phút = ............. giây?
A. 60
B. 120
C. 6
D. 16"
1505,"Số thuộc hàng phần trăm trong số thập phân 32,879 là?
A. 2
B. 8
C. 7
D. 9"
151,"4 giờ 15 phút chiều còn được gọi là?
A. 15 giờ 15 phút
B. 16 giờ 15 phút
C. 17 giờ 15 phút
D. 15 giờ 5 phút"
1511,"Số tự nhiên n thỏa mãn 2^n = 8 là?
A. 1
B. 2
C. 3
D. 4"
1513,"Sử dụng máy tính bỏ túi, hãy viết giá trị gần đúng của \pi^2 chính xác đến hàng phần nghìn.
A. 9,870
B. 9,869
C. 9,871
D. 9,8696"
1514,"Sử dụng máy tính bỏ túi, hãy viết giá trị gần đúng của \sqrt3 chính xác đến hàng phần trăm?
A. 1,73
B. 1,732
C. 1,7
D. 1,7320"
1518,"Tam giác ABC có diện tích 40 cm2. Chiều cao AH có độ dài 0,8 dm. Độ dài đáy BC của tam giác ABC là?
A. 5 cm
B. 10 cm
C.15 cm
D. 20 cm"
152,"4 là thương của?
A. 10 và 2
B. 2 và 2
C. 20 và 5
D. 30 và 5"
1526,"Thể tích của hình lập phương có cạnh 2,1cm là?
A. 4,41cm3
B. 44,1cm3
C. 9,261cm3
D. 92,61cm3"
1527,"Thể tích của hình lập phương có cạnh 2dm là?
A. 8dm3
B. 80dm3
C. 4dm3
D. 40dm3"
1528,"Thể tích của hình lập phương có cạnh 4,5cm là?
A. 91,125
B. 911,25
C. 91,125cm3
D. 911,25cm3"
153,"4% của 8000l là?
A. 360 l
B. 280 l
C. 320 l
D. 300 l"
1530,"Thể tích của hình lập phương có cạnh 9cm là?
A. 81cm3
B. 324 cm3
C. 486 cm3
D. 729 cm3"
1531,"Thể tích của hình lập phương có cạnh bằng 3,5cm là?
A. 42,875cm3
B. 12,25cm3
C. 14cm3
D. 21cm3"
1536,"Thể tích hình lập phương có cạnh 2,5dm là?
A. 25dm3
B. 37,5dm3
C. 6,25dm3
D. 15,625dm3"
1539,"Thịt trâu gác bếp là một trong những đặc sản của đồng bào vùng núi Tây Bắc. Để làm được 1 kg thịt trâu gác bếp cần khoảng 2 900 g thịt trâu tươi. Vậy để làm được 3 kg thịt trâu gác bếp, khối lượng thịt trâu tươi cần dùng là?
A. 2 903 g
B. 8 700 g
C. 9 kg
D. 6 700 g"
154,"40% của 86 là?
A. 34,4
B. 3,44
C. 344
D. 0,344"
1540,"Thỏ nặng hơn gà 2 kg. Cân nặng của thỏ là?
A. 3 kg
B. 6 kg
C. 5 kg
D. 4kg"
1544,"Thứ Tư tuần này là ngày 18. Thứ Năm tuần sau là ngày?
A. 25
B. 26
C. 27
D. 28"
1545,"Thứ Tư tuần này là ngày 20. Vậy thứ Tư tuần trước là ngày mấy?
A. Ngày 13
B. Ngày 15
C. Ngày 27
D. Ngày 12"
155,"45% của 240m2 là?
A. 108m2
B. 10,8m2
C. 1080m2
D. 120m2"
1551,"Thương của 67,89 và 0,1 là?
A. 6,789
B. 67,89
C. 678,9
D. 0,6789"
1557,"Tỉ số phần trăm của $\frac{3}{4}$ và $\frac{2}{5}$ là?
A. 187,5%
B. 1,875%
C. 53,33%
D. 53%"
1558,"Tỉ số phần trăm của 1,2 và 2,5 là?
A. 0,48%
B. 48%
C. 4,8%
D. 480%"
156,"47 là hiệu của?
A. 60 và 23
B. 38 và 9
C. 72 và 25
D. 91 và 65"
1567,"Tỉ số phần trăm của 28 và 80 là?
A. 0,35%
B. 35%
C. 3,5%
D. 0,035%"
157,"5 là thương của hai số nào?
A. 14 và 2
B. 18 và 2
C. 25 và 5
D. 15 và 5"
1570,"Tỉ số phần trăm của 32 và 50 là?
A. 64%
B. 65%
C. 46%
D. 63%"
1571,"Tỉ số phần trăm của 4 và 1000 là?
A. 0,4%
B. 0,04%
C. 40%
D. 4%"
1572,"Tỉ số phần trăm của 48 và 75 là?
A. 0,64%
B. 6,4%
C. 64%
D. 60%"
1573,"Tỉ số phần trăm của 54 và 300 là?
A. 0,18 %
B. 18 %
C. 1,8 %
D. 180 %"
1574,"Tỉ số phần trăm của 58 và 80 là?
A. 59,8%
B. 80,59%
C. 72,5%
D. 0,725%"
1576,"Tích của 14 253 và 3 là?
A. 32 659
B. 42 759
C. 32 759
D. 42 659"
1578,"Tích của 5 và 6 là số liền sau của?
A. 30
B. 29
C. 10
D. 12"
1579,"Tích của 5 và số liền trước số lớn nhất có một chữ số là?
A. 35
B. 50
C. 45
D. 40"
158,"5 là thương của hai số nào?
A. 8 và 2
B. 15 và 5
C. 30 và 5
D. 10 và 2"
